modelfileversion,model,layer,skew,width (um),space (um),capacitance (fF/um)
4x1r1,crgcnfm1,gcn,pcff,0.038,0.052,0.200331
4x1r1,crgm0gmzgmb,gm0,pcff,0.54,0.54,0.381537
4x1r1,crgmbgm0c4,gmb,pcff,1,1,0.351116
4x1r1,crgmzm8gm0,gmz,pcff,0.54,0.54,0.391033
4x1r1,crm1fm2,m1,pcff,0.044,0.046,0.172332
4x1r1,crm2m1m3,m2,pcff,0.044,0.046,0.178182
4x1r1,crm3m2m4,m3,pcff,0.044,0.046,0.178182
4x1r1,crm4m3m5,m4,pcff,0.044,0.046,0.178182
4x1r1,crm5m4m6,m5,pcff,0.044,0.046,0.178182
4x1r1,crm6m5m7,m6,pcff,0.044,0.046,0.184511
4x1r1,crm7m6m8,m7,pcff,0.18,0.18,0.218702
4x1r1,crm8m7c4,m8,pcff,0.18,0.18,0.20768
4x1r1,crpfm1,p,pcff,0.04,0.068,0.172982
4x1r1,crtcnfm1,tcn,pcff,0.038,0.07,0.244197
4x1r1,crgcnfm1,gcn,pcss,0.038,0.052,0.204559
4x1r1,crgm0gmzgmb,gm0,pcss,0.54,0.54,0.563158
4x1r1,crgmbgm0c4,gmb,pcss,1,1,0.4914
4x1r1,crgmzm8gm0,gmz,pcss,0.54,0.54,0.585019
4x1r1,crm1fm2,m1,pcss,0.044,0.046,0.206091
4x1r1,crm2m1m3,m2,pcss,0.044,0.046,0.217568
4x1r1,crm3m2m4,m3,pcss,0.044,0.046,0.217568
4x1r1,crm4m3m5,m4,pcss,0.044,0.046,0.217568
4x1r1,crm5m4m6,m5,pcss,0.044,0.046,0.217568
4x1r1,crm6m5m7,m6,pcss,0.044,0.046,0.219298
4x1r1,crm7m6m8,m7,pcss,0.18,0.18,0.288907
4x1r1,crm8m7c4,m8,pcss,0.18,0.18,0.274399
4x1r1,crpfm1,p,pcss,0.04,0.068,0.173948
4x1r1,crtcnfm1,tcn,pcss,0.038,0.07,0.248458
4x1r1,crgcnfm1,gcn,prcf,0.038,0.052,0.202262
4x1r1,crgm0gmzgmb,gm0,prcf,0.54,0.54,0.535236
4x1r1,crgmbgm0c4,gmb,prcf,1,1,0.470783
4x1r1,crgmzm8gm0,gmz,prcf,0.54,0.54,0.543989
4x1r1,crm1fm2,m1,prcf,0.044,0.046,0.201016
4x1r1,crm2m1m3,m2,prcf,0.044,0.046,0.20944
4x1r1,crm3m2m4,m3,prcf,0.044,0.046,0.20944
4x1r1,crm4m3m5,m4,prcf,0.044,0.046,0.20944
4x1r1,crm5m4m6,m5,prcf,0.044,0.046,0.20944
4x1r1,crm6m5m7,m6,prcf,0.044,0.046,0.213572
4x1r1,crm7m6m8,m7,prcf,0.18,0.18,0.282129
4x1r1,crm8m7c4,m8,prcf,0.18,0.18,0.271865
4x1r1,crpfm1,p,prcf,0.04,0.068,0.173315
4x1r1,crtcnfm1,tcn,prcf,0.038,0.07,0.245654
4x1r1,crgcnfm1,gcn,prcs,0.038,0.052,0.202537
4x1r1,crgm0gmzgmb,gm0,prcs,0.54,0.54,0.40804
4x1r1,crgmbgm0c4,gmb,prcs,1,1,0.372604
4x1r1,crgmzm8gm0,gmz,prcs,0.54,0.54,0.429711
4x1r1,crm1fm2,m1,prcs,0.044,0.046,0.177125
4x1r1,crm2m1m3,m2,prcs,0.044,0.046,0.185823
4x1r1,crm3m2m4,m3,prcs,0.044,0.046,0.185823
4x1r1,crm4m3m5,m4,prcs,0.044,0.046,0.185823
4x1r1,crm5m4m6,m5,prcs,0.044,0.046,0.185823
4x1r1,crm6m5m7,m6,prcs,0.044,0.046,0.189872
4x1r1,crm7m6m8,m7,prcs,0.18,0.18,0.225432
4x1r1,crm8m7c4,m8,prcs,0.18,0.18,0.212091
4x1r1,crpfm1,p,prcs,0.04,0.068,0.174056
4x1r1,crtcnfm1,tcn,prcs,0.038,0.07,0.246869
4x1r1,crgcnfm1,gcn,tttt,0.038,0.052,0.202735
4x1r1,crgm0gmzgmb,gm0,tttt,0.54,0.54,0.460484
4x1r1,crgmbgm0c4,gmb,tttt,1,1,0.413999
4x1r1,crgmzm8gm0,gmz,tttt,0.54,0.54,0.474555
4x1r1,crm1fm2,m1,tttt,0.044,0.046,0.19113
4x1r1,crm2m1m3,m2,tttt,0.044,0.046,0.2003
4x1r1,crm3m2m4,m3,tttt,0.044,0.046,0.2003
4x1r1,crm4m3m5,m4,tttt,0.044,0.046,0.2003
4x1r1,crm5m4m6,m5,tttt,0.044,0.046,0.2003
4x1r1,crm6m5m7,m6,tttt,0.044,0.046,0.20389
4x1r1,crm7m6m8,m7,tttt,0.18,0.18,0.250428
4x1r1,crm8m7c4,m8,tttt,0.18,0.18,0.239086
4x1r1,crpfm1,p,tttt,0.04,0.068,0.173554
4x1r1,crtcnfm1,tcn,tttt,0.038,0.07,0.246332
4x1r1,crgcnfm1,gcn,pcff,0.038,0.052,0.200331
4x1r1,crgm0gmzgmb,gm0,pcff,0.54,0.54,0.381537
4x1r1,crgmbgm0c4,gmb,pcff,1,1,0.351116
4x1r1,crgmzm8gm0,gmz,pcff,0.54,0.54,0.394743
4x1r1,crm1fm2,m1,pcff,0.044,0.046,0.172332
4x1r1,crm2m1m3,m2,pcff,0.044,0.046,0.178182
4x1r1,crm3m2m4,m3,pcff,0.044,0.046,0.178182
4x1r1,crm4m3m5,m4,pcff,0.044,0.046,0.178182
4x1r1,crm5m4m6,m5,pcff,0.044,0.046,0.178182
4x1r1,crm6m5m7,m6,pcff,0.044,0.046,0.184511
4x1r1,crm7m6m8,m7,pcff,0.18,0.18,0.213376
4x1r1,crm8m7c4,m8,pcff,0.18,0.18,0.203488
4x1r1,crpfm1,p,pcff,0.04,0.068,0.172982
4x1r1,crtcnfm1,tcn,pcff,0.038,0.07,0.244197
4x1r1,crgcnfm1,gcn,pcss,0.038,0.052,0.204559
4x1r1,crgm0gmzgmb,gm0,pcss,0.54,0.54,0.563158
4x1r1,crgmbgm0c4,gmb,pcss,1,1,0.4914
4x1r1,crgmzm8gm0,gmz,pcss,0.54,0.54,0.591368
4x1r1,crm1fm2,m1,pcss,0.044,0.046,0.206091
4x1r1,crm2m1m3,m2,pcss,0.044,0.046,0.217568
4x1r1,crm3m2m4,m3,pcss,0.044,0.046,0.217568
4x1r1,crm4m3m5,m4,pcss,0.044,0.046,0.217568
4x1r1,crm5m4m6,m5,pcss,0.044,0.046,0.217568
4x1r1,crm6m5m7,m6,pcss,0.044,0.046,0.219298
4x1r1,crm7m6m8,m7,pcss,0.18,0.18,0.282246
4x1r1,crm8m7c4,m8,pcss,0.18,0.18,0.267489
4x1r1,crpfm1,p,pcss,0.04,0.068,0.173948
4x1r1,crtcnfm1,tcn,pcss,0.038,0.07,0.248458
4x1r1,crgcnfm1,gcn,prcf,0.038,0.052,0.202262
4x1r1,crgm0gmzgmb,gm0,prcf,0.54,0.54,0.535236
4x1r1,crgmbgm0c4,gmb,prcf,1,1,0.470783
4x1r1,crgmzm8gm0,gmz,prcf,0.54,0.54,0.548403
4x1r1,crm1fm2,m1,prcf,0.044,0.046,0.201016
4x1r1,crm2m1m3,m2,prcf,0.044,0.046,0.20944
4x1r1,crm3m2m4,m3,prcf,0.044,0.046,0.20944
4x1r1,crm4m3m5,m4,prcf,0.044,0.046,0.20944
4x1r1,crm5m4m6,m5,prcf,0.044,0.046,0.20944
4x1r1,crm6m5m7,m6,prcf,0.044,0.046,0.213572
4x1r1,crm7m6m8,m7,prcf,0.18,0.18,0.273854
4x1r1,crm8m7c4,m8,prcf,0.18,0.18,0.263639
