modelfileversion,model,layer,skew,temperature,resistance (ohms)
4x1r1,rrgv0_1850x800xs0,gv0,pcff,-40,0.0202982
4x1r1,rrgv0_1850x800xs0_p,gv0,pcff,-40,0.0202982
4x1r1,rrgv0_1850x800xs0_s,gv0,pcff,-40,0.0202982
4x1r1,rrgv0_3700x800xs0,gv0,pcff,-40,0.00996448
4x1r1,rrgv0_3700x800xs0_p,gv0,pcff,-40,0.00996448
4x1r1,rrgv0_3700x800xs0_s,gv0,pcff,-40,0.00996448
4x1r1,rrgv0_7400x800xs0,gv0,pcff,-40,0.00493782
4x1r1,rrgv0_7400x800xs0_p,gv0,pcff,-40,0.00493782
4x1r1,rrgv0_7400x800xs0_s,gv0,pcff,-40,0.00493782
4x1r1,rrgv0_800x1850xs0,gv0,pcff,-40,0.0202982
4x1r1,rrgv0_800x1850xs0_p,gv0,pcff,-40,0.0202982
4x1r1,rrgv0_800x1850xs0_s,gv0,pcff,-40,0.0202982
4x1r1,rrgv0_800x3700xs0,gv0,pcff,-40,0.00996448
4x1r1,rrgv0_800x3700xs0_p,gv0,pcff,-40,0.00996448
4x1r1,rrgv0_800x3700xs0_s,gv0,pcff,-40,0.00996448
4x1r1,rrgv0_800x7400xs0,gv0,pcff,-40,0.00493782
4x1r1,rrgv0_800x7400xs0_p,gv0,pcff,-40,0.00493782
4x1r1,rrgv0_800x7400xs0_s,gv0,pcff,-40,0.00493782
4x1r1,rrgv0_1850x800xs0,gv0,pcff,25,0.026276
4x1r1,rrgv0_1850x800xs0_p,gv0,pcff,25,0.026276
4x1r1,rrgv0_1850x800xs0_s,gv0,pcff,25,0.026276
4x1r1,rrgv0_3700x800xs0,gv0,pcff,25,0.012899
4x1r1,rrgv0_3700x800xs0_p,gv0,pcff,25,0.012899
4x1r1,rrgv0_3700x800xs0_s,gv0,pcff,25,0.012899
4x1r1,rrgv0_7400x800xs0,gv0,pcff,25,0.006392
4x1r1,rrgv0_7400x800xs0_p,gv0,pcff,25,0.006392
4x1r1,rrgv0_7400x800xs0_s,gv0,pcff,25,0.006392
4x1r1,rrgv0_800x1850xs0,gv0,pcff,25,0.026276
4x1r1,rrgv0_800x1850xs0_p,gv0,pcff,25,0.026276
4x1r1,rrgv0_800x1850xs0_s,gv0,pcff,25,0.026276
4x1r1,rrgv0_800x3700xs0,gv0,pcff,25,0.012899
4x1r1,rrgv0_800x3700xs0_p,gv0,pcff,25,0.012899
4x1r1,rrgv0_800x3700xs0_s,gv0,pcff,25,0.012899
4x1r1,rrgv0_800x7400xs0,gv0,pcff,25,0.006392
4x1r1,rrgv0_800x7400xs0_p,gv0,pcff,25,0.006392
4x1r1,rrgv0_800x7400xs0_s,gv0,pcff,25,0.006392
4x1r1,rrgv0_1850x800xs0,gv0,pcff,100,0.0331735
4x1r1,rrgv0_1850x800xs0_p,gv0,pcff,100,0.0331735
4x1r1,rrgv0_1850x800xs0_s,gv0,pcff,100,0.0331735
4x1r1,rrgv0_3700x800xs0,gv0,pcff,100,0.016285
4x1r1,rrgv0_3700x800xs0_p,gv0,pcff,100,0.016285
4x1r1,rrgv0_3700x800xs0_s,gv0,pcff,100,0.016285
4x1r1,rrgv0_7400x800xs0,gv0,pcff,100,0.0080699
4x1r1,rrgv0_7400x800xs0_p,gv0,pcff,100,0.0080699
4x1r1,rrgv0_7400x800xs0_s,gv0,pcff,100,0.0080699
